int	int	int	int	int	string	int	
id	是否被动	“是否专属”	消耗碎片数量	消耗金币	对应的技能卡id	技能稀有度	
id	is_passive	is_exclusive	fragment	gold	skillcard	rarity	
1001	1	0	1	1	31001	1	
1002	1	0	0	1	31002.0	2	
1003	1	0	0	1	31003.0	3	
1004	1	0	0	1	31004.0	4	
1005	1	0	0	0	0.0	1	
2001	1	0	0	0	6005.0	1	
2002	1	0	0	0	6006.0	2	
2003	1	0	0	0	6007.0	3	
3001	0	0	500	5000	0.0	1	
3002	0	0	400	4000	0.0	1	
3003	0	0	300	3000	0.0	1	
3004	0	0	200	2000	0.0	1	
3005	0	0	0	0	0.0	1	
5001	1	0	0	0	0.0	1	
5002	1	0	0	0	0.0	2	
5003	1	0	0	0	0.0	3	
5004	1	0	0	0	6004.0	4	
2004	1	0	0	0	0.0	2	
2005	1	0	0	0	0.0	3	
4001	1	0	0	0	30001.0	1	
4002	1	0	0	0	30002.0	2	
4003	1	0	0	0	30003.0	1	
4004	1	0	0	0	30004.0	2	
4005	1	0	0	0	30005.0	1	
4006	1	0	0	0	30006.0	2	
4007	1	0	0	0	30007.0	2	
4008	1	0	0	0	30008.0	2	
4009	1	0	0	0	30009.0	2	
4010	1	0	0	0	30010.0	1	
4011	1	0	0	0	30011.0	1	
4012	1	0	0	0	30012.0	1	
4013	1	0	0	0	30013.0	1	
4014	1	0	0	0	30014.0	1	
4015	1	0	0	0	30015.0	1	
4016	1	0	0	0	30016.0	2	
4017	1	0	0	0	30017.0	3	
4018	1	0	0	0	30018.0	2	
4019	1	0	0	0	30019.0	3	
4020	1	0	0	0	30020.0	2	
4021	1	0	0	0	30021.0	3	
4022	1	0	0	0	30022.0	3	
4023	1	0	0	0	30023.0	3	
4024	1	0	0	0	30024.0	3	
4025	1	0	0	0	30025.0	2	
4026	1	0	0	0	30026.0	2	
4027	1	0	0	0	30027.0	2	
4028	1	0	0	0	30028.0	2	
4029	1	0	0	0	30029.0	2	
4030	1	0	0	0	30030.0	2	
4031	1	0	0	0	30031.0	4	
4032	1	0	0	0	30032.0	4	
4033	1	0	0	0	30033.0	4	
4034	1	0	0	0	30034.0	4	
4035	1	0	0	0	30035.0	4	
4036	1	0	0	0	30036.0	4	
4037	1	0	200	200	30001.0	1	
4038	1	0	300	300	0.0	1	
4039	1	0	400	400	0.0	1	
4040	1	0	500	500	0.0	1	
4041	1	0	0	0	0.0	1	
4042	1	0	200	200	0.0	1	
4043	1	0	300	300	0.0	1	
4044	1	0	400	400	0.0	1	
4045	1	0	500	500	0.0	1	
4046	1	0	0	0	0.0	1	
4047	1	0	200	200	30002.0	1	
4048	1	0	300	300	0.0	1	
4049	1	0	400	400	0.0	1	
4050	1	0	500	500	0.0	1	
4051	1	0	0	0	0.0	1	
4052	1	0	200	200	0.0	1	
4053	1	0	300	300	0.0	1	
4054	1	0	400	400	0.0	1	
4055	1	0	500	500	0.0	1	
4056	1	0	0	0	0.0	1	
6001	1	0	0	0	0.0	1	
6002	1	0	0	0	0.0	1	
6003	1	0	0	0	0.0	1	
6004	1	0	0	0	0.0	1	
7001	1	0	0	0	0.0	1	
10000110	0	0	200	200	0.0	1	
10000120	0	0	300	300	0.0	2	
10000130	0	0	400	400	0.0	3	
10000140	0	0	500	500	0.0	3	
10000150	0	0	0	0	0.0	4	
10000210	0	0	200	200	0.0	1	
10000220	0	0	300	300	0.0	2	
10000230	0	0	400	400	0.0	3	
10000240	0	0	500	500	0.0	3	
10000250	0	0	0	0	0.0	4	
10000310	0	0	200	200	0.0	1	
10000320	0	0	300	300	0.0	2	
10000330	0	0	400	400	0.0	3	
10000340	0	0	500	500	0.0	3	
10000350	0	0	0	0	0.0	4	
10000410	0	0	200	200	0.0	1	
10000420	0	0	300	300	0.0	2	
10000430	0	0	400	400	0.0	3	
10000440	0	0	500	500	0.0	3	
10000450	0	0	0	0	0.0	4	
10000510	0	0	200	200	0.0	1	
10000520	0	0	300	300	0.0	2	
10000530	0	0	400	400	0.0	3	
10000540	0	0	500	500	0.0	3	
10000550	0	0	0	0	0.0	4	
10000610	0	0	200	200	0.0	1	
10000620	0	0	300	300	0.0	2	
10000630	0	0	400	400	0.0	3	
10000640	0	0	500	500	0.0	3	
10000650	0	0	0	0	0.0	4	
10000710	0	0	200	200	0.0	1	
10000720	0	0	300	300	0.0	2	
10000730	0	0	400	400	0.0	3	
10000740	0	0	500	500	0.0	3	
10000750	0	0	0	0	0.0	4	
10000810	0	0	200	200	0.0	1	
10000820	0	0	300	300	0.0	2	
10000830	0	0	400	400	0.0	3	
10000840	0	0	500	500	0.0	3	
10000850	0	0	0	0	0.0	4	
20000110	0	0	200	200	0.0	0	
20000120	0	0	300	300	0.0	0	
20000130	0	0	400	400	0.0	0	
20000140	0	0	500	500	0.0	0	
20000150	0	0	0	0	0.0	0	
20000410	0	0	200	200	0.0	0	
20000420	0	0	300	300	0.0	0	
20000430	0	0	400	400	0.0	0	
20000440	0	0	500	500	0.0	0	
20000450	0	0	0	0	0.0	0	
30100110	0	0	200	200	0.0	1	
30100120	0	0	300	300	0.0	2	
30100130	0	0	400	400	0.0	3	
30100140	0	0	500	500	0.0	3	
30100150	0	0	0	0	0.0	4	
30100160	1	1	0	0	0.0	4	
30100210	0	0	200	200	0.0	1	
30100220	0	0	300	300	0.0	2	
30100230	0	0	400	400	0.0	3	
30100240	0	0	500	500	0.0	3	
30100250	0	0	0	0	0.0	4	
30100260	1	1	0	0	0.0	4	
30100310	0	0	200	200	0.0	1	
30100320	0	0	300	300	0.0	2	
30100330	0	0	400	400	0.0	3	
30100340	0	0	500	500	0.0	3	
30100350	0	0	0	0	0.0	4	
30100360	1	1	0	0	0.0	4	
30100410	0	0	200	200	0.0	1	
30100420	0	0	300	300	0.0	2	
30100430	0	0	400	400	0.0	3	
30100440	0	0	500	500	0.0	3	
30100450	0	0	0	0	0.0	4	
30100460	1	1	0	0	0.0	4	
30100510	0	0	200	200	0.0	1	
30100520	0	0	300	300	0.0	2	
30100530	0	0	400	400	0.0	3	
30100540	0	0	500	500	0.0	3	
30100550	0	0	0	0	0.0	4	
30100560	1	1	0	0	0.0	4	
40100110	0	0	200	200	0.0	1	
40100120	0	0	300	300	0.0	2	
40100130	0	0	400	400	0.0	3	
40100140	0	0	500	500	0.0	3	
40100150	0	0	0	0	0.0	4	
40100160	1	1	0	0	0.0	4	
40100210	0	0	200	200	0.0	1	
40100220	0	0	300	300	0.0	2	
40100230	0	0	400	400	0.0	3	
40100240	0	0	500	500	0.0	3	
40100250	0	0	0	0	0.0	4	
40100260	1	1	0	0	0.0	4	
40100169	1	1	0	0	0.0	1	
40100170	1	1	0	0	0.0	1	
40100269	1	1	0	0	0.0	2	
40100270	1	1	0	0	0.0	3	
30100169	1	1	0	0	0.0	4	
30100269	1	1	0	0	0.0	5	
20000160	1	1	0	0	0.0	5	
20000460	1	1	0	0	0.0	5	
151001	0	0	0	0	0.0	1	
151002	0	0	0	0	0.0	1	
151003	0	0	0	0	0.0	1	
151004	0	0	0	0	0.0	1	
151005	0	0	0	0	0.0	1	
101001	1	0	0	0	0.0	1	
101002	1	0	0	0	0.0	1	
101003	1	0	0	0	0.0	1	
101004	1	0	0	0	0.0	1	
101005	1	0	0	0	0.0	1	
101006	1	0	0	0	0.0	1	
101007	1	0	0	0	0.0	1	
101008	1	0	0	0	0.0	1	
101009	1	0	0	0	0.0	1	
101010	1	0	0	0	0.0	1	
101011	1	0	0	0	0.0	1	
102001	1	0	0	0	0.0	1	
102002	1	0	0	0	0.0	1	
102003	1	0	0	0	0.0	1	
102004	1	0	0	0	0.0	1	
102005	1	0	0	0	0.0	1	
102006	1	0	0	0	0.0	1	
102007	1	0	0	0	0.0	1	
102008	1	0	0	0	0.0	1	
102009	1	0	0	0	0.0	1	
102010	1	0	0	0	0.0	1	
810101	1	0	0	0	0.0	1	
830103	1	0	0	0	0.0	1	
840101	1	0	0	0	0.0	1	
830201	1	0	0	0	0.0	1	
840305	1	0	0	0	0.0	1	
840306	1	0	0	0	0.0	1	
840307	1	0	0	0	0.0	1	
820304	1	0	0	0	0.0	1	
5000010	1	0	0	0	0.0	4	
5000011	1	0	0	0	0.0	4	
5000012	1	0	0	0	0.0	4	
5000013	1	0	0	0	0.0	4	
5000040	1	0	0	0	0.0	4	
5000041	1	0	0	0	0.0	4	
5000042	1	0	0	0	0.0	4	
5000043	1	0	0	0	0.0	4	
5000070	1	0	0	0	0.0	4	
5000071	1	0	0	0	0.0	4	
5000072	1	0	0	0	0.0	4	
5000073	1	0	0	0	0.0	4	
5000074	1	0	0	0	0.0	2	
5000075	1	0	0	0	0.0	2	
5000076	1	0	0	0	0.0	2	
5000077	1	0	0	0	0.0	2	
5000078	1	0	0	0	0.0	2	
5000079	1	0	0	0	0.0	2	
5000080	1	0	0	0	0.0	2	
5000081	1	0	0	0	0.0	2	
